Year, Low physical activity, Non-exclusive breastfeeding, Air pollution, Child wasting, High systolic blood pressure, High fasting plasma glucose, Child stunting, High body-mass index, Secondhand smoke, Unsafe sanitation, Unsafe water source, Diet low in vegetables, Diet low in fruits, Diet high in sodium, Drug use, Household air pollution from solid fuels, High LDL cholesterol, Iron deficiency, Zinc deficiency, Smoking, Vitamin A deficiency, Ambient particulate matter pollution
2001-01-01,0.01601520169754241,0.0002737797276222857,0.0418019900465295,0.0026218112516825944,0.16451724763425551,0.1194897244962496,3.767275001808591e-05,0.15944579471075493,0.020073675740751258,0.00044105370380807384,0.0004541225153434308,0.008349792187339942,0.015395893564909611,0.014659824005085661,0.056188352437900935,0.00013538968427597418,0.09082313562070637,0.0026950663677916785,6.240776321293166e-07,0.2486802961682015,8.456896243291016e-06,0.037891094715355005
2002-01-01,0.015393132759082377,0.000271247856626136,0.041020578876138115,0.002592962625456843,0.16043233758493147,0.12361061648308799,3.685754274176839e-05,0.16233847473052782,0.01958866059793395,0.0004470872925762378,0.0004137682170978781,0.008445288011371765,0.015273511456753918,0.014918639783733851,0.05975623166320998,0.00013175723342524106,0.08860376990865981,0.0026806581078142105,5.952834801688661e-07,0.24694878687329314,8.101333399132489e-06,0.03708693577865835
2003-01-01,0.014743484119667877,0.0002705451487353461,0.04000985453486426,0.0025661371034883702,0.1557362881146648,0.12832932763522417,3.689684502239735e-05,0.16550447042530447,0.019069434920844116,0.00046012159814220734,0.00038257645271631493,0.008492884149046063,0.01513703005247362,0.015133912710068465,0.06352791696712023,0.00012779919114273052,0.08615352106884044,0.0027160414839085653,5.739642889455136e-07,0.2453496358429253,7.832634928185315e-06,0.03624371503658326
2004-01-01,0.01423191625810789,0.0002645255492170934,0.039036318902370824,0.0025494565486455117,0.1509556316743536,0.1329401515671391,3.6114671593334256e-05,0.1687626437746288,0.018545514522724873,0.0004817741854981173,0.0003609465913009133,0.008508562205272397,0.014993484563330235,0.01527445531279306,0.06742029690345759,0.00012353157807621824,0.08340516796581635,0.0027975403956555264,5.672345837300118e-07,0.2440271995680722,7.697710217570765e-06,0.03527650231714509
2005-01-01,0.014022004761068947,0.0002581452549133685,0.038217968463993814,0.002530724118918982,0.1475474381180656,0.13673804376285517,3.5494603324152745e-05,0.17157015786014412,0.01812737059132042,0.000503365761246423,0.00034003311426522353,0.008559168186104407,0.014895837011561764,0.015437330826703625,0.07024533262171224,0.00011957940555029998,0.08152881736668983,0.0028327407677225863,5.559364946233675e-07,0.24215453917462787,7.498487484875693e-06,0.03432785380523159
2006-01-01,0.013962342513143895,0.00025135811276921956,0.03724199194174099,0.0025208539834305774,0.1441938335203616,0.14079000928120233,3.51378805630706e-05,0.17460377404502603,0.017721790726230566,0.0005293350158496544,0.00033607730970089655,0.00857236277363225,0.01482960289819858,0.01554239371641046,0.07287331494755621,0.00011523465391965741,0.07945465247940121,0.002919613722617039,5.59240458513867e-07,0.24037568731591852,7.469945688453856e-06,0.03312260397618033
2007-01-01,0.014018471568261824,0.0002402268163548799,0.03556377632084458,0.0025335421480455417,0.14071043851502885,0.14629662068293103,3.4568879589283054e-05,0.17797611476651323,0.017293544135420932,0.0005394251872810525,0.00032377932696888285,0.008566830658172897,0.01478112520043776,0.015616751635711268,0.07483155506925722,0.00011026210613758763,0.07713948671913358,0.003053299659781231,5.732281859871221e-07,0.2387986729962876,7.523642681012188e-06,0.03156341073697383
2008-01-01,0.014143651145826254,0.00022038203664323546,0.03363886992929128,0.002519352944859183,0.13771798297592078,0.15182366253671856,3.256368425108178e-05,0.18118520622993706,0.016937057616551218,0.0005336928829672998,0.00030481901650861306,0.008602567401830068,0.014795444129002026,0.01571400138395352,0.07608811454175333,0.0001048224474044178,0.0753379213083452,0.003174589315795294,5.831979269996405e-07,0.23721214619993786,7.484913394575942e-06,0.029905084161182146
2009-01-01,0.014192835219598864,0.00020122847072634779,0.03182961701350177,0.002502135762822812,0.13525760202154705,0.15615331907149171,3.0184494461780556e-05,0.18443370883926577,0.016637244173202118,0.0005177069433591158,0.0002825642318855575,0.008578585689227146,0.014790144407814171,0.015794947584285377,0.07806001974914177,9.94647958599794e-05,0.07354313259996893,0.003301856439191919,5.927622895651384e-07,0.235541198340329,7.4234970360554925e-06,0.02824448789299302
2010-01-01,0.014240852590099055,0.0001824759571516892,0.030423064602147516,0.0024989673821012286,0.134361903972748,0.1586603504687498,2.7480748911444372e-05,0.18702804781245547,0.01636371594161689,0.0005022898435614945,0.0002621516363265965,0.00854855300688556,0.014736693070885938,0.015858430071178705,0.0803396729160698,9.453437717766483e-05,0.07198177592109274,0.0034073435230613483,5.985972992047451e-07,0.23364770989834596,7.343413536106016e-06,0.026826044248597795
2011-01-01,0.014086752517943701,0.00017163344633896492,0.029621539751250415,0.002496220352900796,0.13479100659414112,0.15902353862547627,2.6118793317370393e-05,0.18844062111520204,0.016192714679181774,0.0004920906230077075,0.000258949159282563,0.008513671502158848,0.014682992738585615,0.01595687485730377,0.0833017454931868,9.016291071714213e-05,0.07097627647439995,0.0034758573116598873,5.898851396137041e-07,0.23169138798248015,7.139887806297091e-06,0.02570211529851929
2012-01-01,0.013812975854673731,0.00016405945647683922,0.02841743692239017,0.0024914756353922626,0.1356348485777224,0.15959962912099326,2.499657049651006e-05,0.1898833898000615,0.01600999995703149,0.0004805327228092237,0.0002548073775210686,0.008471416299769278,0.014627928955855617,0.01604087696273808,0.08679252966694818,8.593754599963755e-05,0.0695932632683756,0.0035572121983029727,5.822386194566321e-07,0.22942408395866906,6.954167150645234e-06,0.024625062742003035
2013-01-01,0.013458382356755645,0.0001576827090727032,0.027175576407430797,0.002496213905262997,0.136914364409711,0.15996886375158284,2.433805230759245e-05,0.19097719651919706,0.015843611978572203,0.0004667075915038631,0.0002506593056947911,0.00841898393764135,0.014556749723107918,0.016124503761138886,0.09087161978205255,8.155904711365115e-05,0.0682702902475763,0.0036204181401704593,5.726357187485188e-07,0.226754871184048,6.730796782050998e-06,0.023560103757558622
2014-01-01,0.013092454299789884,0.0001538815423995631,0.02578952060661556,0.0025099012232145143,0.13811617428570808,0.1602532655105693,2.3750964626547823e-05,0.19193114339863057,0.01569384365832946,0.0004526374935810718,0.0002456846349893555,0.008365820788133159,0.014489321298505473,0.01618089947160291,0.09564302443914285,7.760560564126636e-05,0.06703488431235717,0.003649883618459529,5.629564457345933e-07,0.22379742556949161,6.513580676709348e-06,0.0224918007410897
2015-01-01,0.012771022650758489,0.00015220296979142817,0.024684393820167315,0.002532713101140357,0.13909792856367456,0.16051222255478328,2.3389523541243923e-05,0.1924816138846506,0.015541460825587033,0.0004343689014544935,0.00023887940108114958,0.008302385867640708,0.01440915375828583,0.016220646356396702,0.10080993674381622,7.36423378077299e-05,0.0660684209620908,0.0036358765957899856,5.546811089083781e-07,0.22057164352269581,6.242692803340957e-06,0.02143130028493388
2016-01-01,0.012378764161969464,0.00014791435985635288,0.023179454599784953,0.002531286024143308,0.13963597954471602,0.1606030658452742,2.2615711140102917e-05,0.19294908624386534,0.01544690743196937,0.0004139539090692188,0.00023061151985916356,0.008209178108632484,0.014364871487592233,0.016280737178023412,0.10691946014577383,6.932891165135305e-05,0.06537493672604415,0.0035880534773695535,5.424815218738504e-07,0.2176713164877279,5.921279789533451e-06,0.019976014364226278
2017-01-01,0.012041132218220132,0.0001437233438569331,0.022125966816738764,0.002475937164626278,0.13940622829603924,0.1614958738113271,2.14927457165276e-05,0.19314034084821532,0.015408453861510497,0.00040603684009212995,0.0002259181713723918,0.008077636750367295,0.014345511153199764,0.016229392085607273,0.11107631093914738,6.646485248362603e-05,0.06466266920417299,0.0035533235710189545,5.303408948853182e-07,0.2160981327782127,5.687785929768554e-06,0.018993236421250104
2018-01-01,0.011604995635009281,0.0001382996185876826,0.021934502037328982,0.002487176640000623,0.13977037255498817,0.1634846417796885,2.0015138584390163e-05,0.1927372950756622,0.015458213741046131,0.0004039546104834629,0.00022358558354763347,0.007973863742150346,0.014328598780742482,0.016226176905063415,0.11102461633727687,6.510316865307479e-05,0.06441041336203246,0.0034867748367627635,5.16592422225514e-07,0.21537606928418598,5.44691919131417e-06,0.01883936765659225
2019-01-01,0.011144280416828892,0.00013554730211085355,0.02180948721719162,0.0025731921093757283,0.13966227134629083,0.16612125287036902,1.9047417981214272e-05,0.19234145645115597,0.01552761458277587,0.0004015412783250252,0.00022253169741731838,0.0078076767734916105,0.01426043256713239,0.01607922562266817,0.1116243045323477,6.402451149105023e-05,0.0639384657806839,0.003428853450506417,5.075465482170448e-07,0.2140555471646375,5.250989439594964e-06,0.018777488371230958
