Year,Oil,Coal,Solar,Nuclear,Hydro,Wind,Gas,Other renewables
1997,0.39488807168217627,0.25303550440075717,2.1135145927300886e-05,0.06467271423406577,0.07221030588020116,0.0003388519977633754,0.21006662106934934,0.004766795589759556
1998,0.39456204679326506,0.24980938665540972,2.2743190216631128e-05,0.06536676003956007,0.07230953612063051,0.00044605219737455746,0.21255202185379773,0.004931453149745701
1999,0.3945642103870237,0.24658576886643174,2.4925912950882057e-05,0.06669259427353416,0.07160973585711376,0.0005842181614171706,0.21485313612995482,0.0050854104115736955
2000,0.3894039235360866,0.24907075885207164,2.8436073532748416e-05,0.06650362919053886,0.07106982064905837,0.0008433703994106745,0.2178931141308599,0.005186947168441362
2001,0.38899130870204107,0.250541824343107,3.760184913736203e-05,0.06727729391288013,0.0681263217719945,0.0010140015504221931,0.21867732125774555,0.005334326612672177
2002,0.38385335657042874,0.2548682124287254,4.6220638847194005e-05,0.06647155617955278,0.06747420973910322,0.0013448487895529534,0.22031998223797147,0.005621613415818141
2003,0.3789859419433758,0.2677790989860415,5.5598088734053564e-05,0.06249475359045622,0.06466391280692736,0.0015602592260213623,0.21873060707003197,0.005729828288411642
2004,0.37496233717501193,0.27287510640752943,6.939088400952656e-05,0.061883306638257,0.065769726290039,0.0019995401746485237,0.21653910840861046,0.0059014840218941465
2005,0.3665643636129865,0.2840697210244483,9.416428999823296e-05,0.05975337855107712,0.06547206543630261,0.0023533554835122755,0.215496779060069,0.006196172541605991
2006,0.3603905927033607,0.2908408639998492,0.000125253177297902,0.05847844766290734,0.06569530646927232,0.0029020393706926965,0.21514598513032113,0.006421511486298901
2007,0.3541306495649394,0.29829252141783746,0.00016391595816109028,0.05525300603388459,0.06442848758669073,0.003595934073007611,0.2173727396977161,0.006762745667763133
2008,0.3473485895205292,0.29917699346691345,0.00026180635387866753,0.05416766522198447,0.0670407996991851,0.0045652434972616,0.22028203231627577,0.007156869923971786
2009,0.3457284892334544,0.29953191823702574,0.00043878923606009896,0.05392599616037068,0.06759483121600186,0.005763202716038613,0.2192039283205176,0.007812844880530745
2010,0.34062824730573005,0.29867697707226637,0.0006694026125922205,0.05244175333002974,0.06769201538559703,0.006838361828857865,0.22465898584004304,0.008394256624883672
2011,0.33554965721669283,0.3057484163654474,0.001256680860566182,0.048776525123065816,0.0669261687432204,0.008438583236068008,0.2246380361908781,0.008665932264061267
2012,0.3357786217926414,0.30271281159054614,0.0019074809639329999,0.04453913375750682,0.06841457090353803,0.009965560967354072,0.22741658457130837,0.009265235453172102
2013,0.3334608273408395,0.30196299277284905,0.0025436868447505207,0.0438608130158629,0.0695254729644443,0.01166312656151787,0.2271305656577132,0.009852514842022708
2014,0.3319747680801321,0.30085586535956715,0.003543748687358321,0.04401250453574706,0.07018722009096626,0.012738911655655624,0.22613065153021053,0.010556330060362898
2015,0.3356089888377469,0.29106602835834333,0.004532422058981626,0.04397433032317352,0.06900534127418696,0.014791572794571516,0.22971529602211524,0.011306020330880974
2016,0.33726562902519175,0.2834667558008684,0.005714112405783993,0.04375262617649399,0.0699899525002703,0.016782118733513814,0.2317087981740845,0.0113200071837935
2017,0.33570453975633924,0.27968172458553653,0.007578380783160573,0.04305253873287986,0.06923954430884678,0.01940064627217193,0.23351231838675837,0.011830307174306623
2018,0.3313115540124483,0.27572190268566993,0.009485353236927164,0.04265635425025459,0.06885922250143273,0.020905166251538758,0.23864293768472378,0.012417509377004737
2019,0.32932656727624277,0.2696628466331614,0.011450469399895321,0.043647784137857464,0.06882770674901709,0.023106615734721416,0.2410492293294361,0.012928780739668511
2020,0.31092125802935305,0.2696836964450207,0.014282653496751977,0.04363182181488252,0.07335158367383908,0.026944499293604554,0.24713781373510102,0.014046673511447165
2021,0.3116734717516467,0.27088110487979183,0.016455879737687546,0.04282707687078651,0.06811574561230867,0.029675368488273613,0.24591707966282852,0.014454272996676445
